date,gender,nation,jerk,born,bweight,pid,snatch,snatch3,snatch1,snatch2,rank_s,total,rank_cj,name,jerk1,rank,jerk3,jerk2,category,event
06.2001,w,CAN,87.5,28.08.1978,47.85,0,65,*67.5,62.5,65,2,152.5,1,TURCOTTE Karine,82.5,1,87.5,85,48,4th UNIVERSITY WORLD CUP
06.2001,w,TPE,85,14.05.1981,47.45,1,65,*67.5,60,65,1,150,2,CHEN Su-Ching,75,2,85,82.5,48,4th UNIVERSITY WORLD CUP
06.2001,w,CAN,112.5,23.02.1975,52.95,2,82.5,*85,80,82.5,1,195,1,TURCOTTE Maryse,105,1,*117.5,112.5,53,4th UNIVERSITY WORLD CUP
06.2001,w,SVK,97.5,20.02.1978,52.15,3,77.5,---,75,77.5,2,175,3,DANEKOVA Dagmar,95,2,*100,97.5,53,4th UNIVERSITY WORLD CUP
06.2001,w,TPE,100,24.08.1982,52.60,4,72.5,72.5,65,70,3,172.5,2,LIN Mei-Ling,90,3,100,97.5,53,4th UNIVERSITY WORLD CUP
06.2001,w,MEX,80,12.07.1980,51.40,5,70,*72.5,65,70,4,150,4,REYES Marina,80,4,*82.5,*82.5,53,4th UNIVERSITY WORLD CUP
06.2001,m,PRK,150,07.10.1973,55.90,6,120,*122.5,110,120,1,270,1,KIM Chol-Min,140,1,*152.5,150,56,4th UNIVERSITY WORLD CUP
06.2001,m,JPN,120,10.03.1980,55.80,7,100,100,92.5,97.5,2,220,2,YOKOI Takuya,115,2,*125,120,56,4th UNIVERSITY WORLD CUP
06.2001,w,PRK,125,03.12.1978,57.35,8,102.5,102.5,95,100,1,227.5,1,RI Song Hui,*125,1,*130,125,58,4th UNIVERSITY WORLD CUP
06.2001,w,TPE,100,20.11.1979,54.90,9,80,80,72.5,77.5,2,180,2,LING I-Hua,92.5,2,100,95,58,4th UNIVERSITY WORLD CUP
06.2001,w,HUN,95,28.11.1978,56.35,10,80,80,70,75,3,175,3,RAKI Henrietta,90,3,*100,95,58,4th UNIVERSITY WORLD CUP
06.2001,w,CZE,77.5,08.06.1978,56.35,11,60,60,55,*60,4,137.5,4,KUTNEROVA Iva,72.5,4,77.5,*77.5,58,4th UNIVERSITY WORLD CUP
06.2001,m,PRK,162.5,09.02.1980,61.80,12,132.5,132.5,125,130,1,295,1,IM Yongsu,155,1,162.5,*162.5,62,4th UNIVERSITY WORLD CUP
06.2001,m,KOR,160,15.04.1980,61.75,13,125,*130,120,125,2,285,2,LEE Sang-Hyuk,155,2,*162.5,160,62,4th UNIVERSITY WORLD CUP
06.2001,m,JPN,155,25.12.1979,61.70,14,120,*122.5,120,*122.5,5,275,3,IMAMURA Toshio,150,3,155,*152.5,62,4th UNIVERSITY WORLD CUP
06.2001,m,TUR,152.5,09.06.1976,61.05,15,120,120,*115,115,4,272.5,4,ARTUC Sedat,140,4,152.5,150,62,4th UNIVERSITY WORLD CUP
06.2001,m,ECU,137.5,15.03.1981,61.95,16,122.5,*125,*122.5,122.5,3,260,5,IDROVO SUAREZ Julio Cesar,135,5,*140,137.5,62,4th UNIVERSITY WORLD CUP
06.2001,m,GUA,135,09.09.1976,59.90,17,112.5,*115,110,112.5,6,247.5,6,MEDRANO Toj Luis Enrique,*135,6,*140,135,62,4th UNIVERSITY WORLD CUP
06.2001,m,FRA,135,08.08.1978,61.80,18,102.5,*107.5,102.5,*107.5,8,237.5,7,FERRARI Arnault,130,7,*140,135,62,4th UNIVERSITY WORLD CUP
06.2001,m,TPE,130,01.02.1982,61.85,19,105,*110,100,105,7,235,8,LU Tsung-Kun,130,8,*137.5,*137.5,62,4th UNIVERSITY WORLD CUP
06.2001,w,JPN,107.5,11.04.1980,61.20,20,82.5,82.5,75,80,2,190,1,OKURA Taeko,*105,1,107.5,105,63,4th UNIVERSITY WORLD CUP
06.2001,w,TPE,100,22.10.1979,61.60,21,85,*87.5,80,85,1,185,2,LIN Yu-Ming,100,2,*105,*105,63,4th UNIVERSITY WORLD CUP
06.2001,w,MEX,90,22.12.1980,61.90,22,80,80,*80,*80,3,170,3,ACOSTA VALDEZ Luz Mercedes,90,3,*95,*95,63,4th UNIVERSITY WORLD CUP
06.2001,m,PRK,175,27.04.1975,68.95,23,137.5,*140,130,137.5,2,312.5,1,HWANG Chol-Hui,165,1,175,170,69,4th UNIVERSITY WORLD CUP
