date,gender,nation,jerk,born,bweight,pid,snatch,snatch3,snatch1,snatch2,rank_s,total,rank_cj,name,jerk1,rank,jerk3,jerk2,category,event
11.2014,w,CHN,96,23.01.1992,47.76,0,80,---,75,80,1,176,1,HUANG Yuezhen,90,1,---,96,48,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,w,KGZ,92,15.11.1993,47.58,1,70,*73,65,70,2,162,2,OKOEVA Zhanyl,88,2,*95,92,48,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,w,KOR,89,04.01.1991,47.66,2,70,70,65,68,3,159,3,KO Bo Geum,85,3,*93,89,48,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,w,UZB,---,07.01.1992,48.00,3,---,---,---,---,---,0,---,TOGOEVA Makhliyo,---,---,---,---,48,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,w,CHN,125,11.01.1991,52.97,4,100,100,90,*100,1,225,1,CHEN Xiaoting,110,1,125,*120,53,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,w,CHN,100,24.03.1998,52.99,5,85,85,78,81,2,185,2,LI Yan,100,2,*110,*110,53,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,w,KOR,95,30.08.1992,51.37,6,78,78,74,*77,3,173,3,CHO Yumi,95,3,---,---,53,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,m,KOR,132,02.12.1981,55.80,7,108,108,*102,103,1,240,1,GO Suk-Kyo,127,1,*138,132,56,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,m,IRQ,131,23.04.1994,55.28,8,105,105,100,*105,2,236,2,ALBACHACHI Ali Ahmed Abd Ali,126,2,*135,131,56,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,m,MAD,125,21.07.1991,55.69,9,95,95,90,*95,3,220,3,ANDRIANTSITOHAINA Eric Herman,125,3,*132,*130,56,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,m,KGZ,110,22.06.1993,56.00,10,95,95,*90,90,4,205,4,BEKNUR UULU Timur,*110,4,*117,110,56,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,w,CHN,118,03.01.1994,57.81,11,88,---,81,88,1,206,1,CHEN Guiming,105,1,118,112,58,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,w,UZB,117,30.05.1993,56.69,12,87,*92,82,87,2,204,2,SISOEVA Marina,107,2,117,112,58,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,w,KOR,85,26.09.1995,57.23,13,65,*68,60,65,3,150,3,CHO Seula,*80,3,85,80,58,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,m,IRQ,136,15.07.1995,61.05,14,116,116,*110,110,1,252,1,SAJJAB Abbas Yaseen,*136,1,*142,136,62,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,m,KUW,112,30.11.1995,61.95,15,90,90,80,85,4,202,3,ABDULRAMMAN Alenezi,100,2,112,108,62,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,m,TJK,111,22.08.1998,60.50,16,90,90,80,85,3,201,4,ABDUKHAKIM Khakberdiev,100,3,111,106,62,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,m,BAN,120,01.05.1986,62.00,17,---,*105,*105,*105,---,0,2,SINGHA Shimul Kanti,120,---,*125,*125,62,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,m,MAD,---,26.02.1995,61.65,18,111,*117,105,111,2,0,---,ANDRIATSITOHAINA Tojonirina Alain,*136,---,*136,*136,62,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,w,CHN,120,04.02.1995,61.72,19,100,100,90,95,1,220,1,ZHOU Yue,110,1,*123,120,63,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,w,KOR,100,07.09.1995,62.85,20,90,---,90,---,2,190,2,HAN So Jin,100,2,---,---,63,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,w,KOR,90,14.08.1992,63.00,21,74,74,70,72,3,164,3,JEONG Ji Yeong,90,3,*101,*101,63,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,m,CHN,180,23.10.1991,68.70,22,155,155,135,145,1,335,1,FENG Lvdong,170,1,*188,180,69,1st AFRO-ASIAN CHAMPIONSHIPS
11.2014,w,CHN,146,03.06.1992,68.55,23,110,110,100,105,1,256,1,XIE Hongli,126,1,146,136,69,1st AFRO-ASIAN CHAMPIONSHIPS
