date,gender,nation,jerk,born,bweight,pid,snatch,snatch3,snatch1,snatch2,rank_s,total,rank_cj,name,jerk1,rank,jerk3,jerk2,category,event
08.2014,w,CHN,105,22.01.1998,47.30,0,88,88,80,*85,---,193,---,JIANG Huihua,90,1,105,100,48,2nd YOUTH OLYMPIC GAMES
08.2014,w,PRK,93,17.10.1997,45.65,1,72,72,66,70,---,165,---,RI Song Gum,88,2,*95,93,48,2nd YOUTH OLYMPIC GAMES
08.2014,w,LAT,90,19.05.1998,47.57,2,75,75,71,73,---,165,---,KOHA Rebeka,86,3,*94,90,48,2nd YOUTH OLYMPIC GAMES
08.2014,w,TUR,85,15.12.1998,46.77,3,65,65,61,63,---,150,---,KARAKOL Gamze,80,4,85,83,48,2nd YOUTH OLYMPIC GAMES
08.2014,w,VIE,84,10.10.1997,47.44,4,65,65,60,63,---,149,---,NGO Thi Quyen,77,5,84,80,48,2nd YOUTH OLYMPIC GAMES
08.2014,w,Mya,85,15.02.1999,47.64,5,63,63,*60,60,---,148,---,ZIN May Oo,80,6,*88,85,48,2nd YOUTH OLYMPIC GAMES
08.2014,w,BRA,78,18.03.1998,46.85,6,62,*66,62,*66,---,140,---,ROSA FIGUEIREDO Emily,*78,7,*80,78,48,2nd YOUTH OLYMPIC GAMES
08.2014,w,PER,79,04.02.1998,47.13,7,55,55,*52,52,---,134,---,CUEVA URIBE Fiorella Francesca,*75,8,79,75,48,2nd YOUTH OLYMPIC GAMES
08.2014,w,ITA,72,16.07.1997,43.41,8,61,*64,58,61,---,133,---,PAGLIARO Alessandra,68,9,72,*72,48,2nd YOUTH OLYMPIC GAMES
08.2014,w,BAN,72,11.07.1998,46.84,9,55,55,*53,53,---,127,---,RESHMA Jahura Akter,66,10,72,69,48,2nd YOUTH OLYMPIC GAMES
08.2014,w,PNG,63,06.05.1998,47.85,10,51,*54,48,51,---,114,---,OVIA Bea,63,11,*68,*68,48,2nd YOUTH OLYMPIC GAMES
08.2014,w,THA,109,14.06.1997,52.74,11,81,81,75,79,---,190,---,PAKKARATHA Rattanaphon,101,1,109,106,53,2nd YOUTH OLYMPIC GAMES
08.2014,w,PRK,100,04.03.1998,52.44,12,81,*82,77,81,---,181,---,JONG Chun Hui,95,2,*105,100,53,2nd YOUTH OLYMPIC GAMES
08.2014,w,TUN,96,05.05.1998,52.24,13,79,79,75,*78,---,175,---,LANDOULSI Nouha,*96,3,*99,96,53,2nd YOUTH OLYMPIC GAMES
08.2014,w,VEN,95,25.03.1998,52.54,14,80,*82,75,80,---,175,---,ZABALA ZABALA Yorlis Yaidelyn,95,4,*97,*97,53,2nd YOUTH OLYMPIC GAMES
08.2014,w,MEX,95,26.10.1997,52.37,15,75,75,*70,70,---,170,---,GOMEZ VALDIVIA Janeth,90,5,95,*95,53,2nd YOUTH OLYMPIC GAMES
08.2014,w,ROU,83,13.03.1998,52.94,16,70,70,65,68,---,153,---,GRIGORAS Viorica,83,6,*87,*87,53,2nd YOUTH OLYMPIC GAMES
08.2014,w,FIJ,68,18.02.1998,52.52,17,58,*61,55,58,---,126,---,SAGONE Ulina Tinaiadivila,68,7,*72,*72,53,2nd YOUTH OLYMPIC GAMES
08.2014,w,MLT,71,11.01.1997,52.49,18,48,*51,*48,48,---,119,---,GATT Nicole,63,8,71,*67,53,2nd YOUTH OLYMPIC GAMES
08.2014,m,CHN,155,18.11.1997,55.81,19,128,128,120,*128,---,283,---,MENG Cheng,140,1,*160,155,56,2nd YOUTH OLYMPIC GAMES
08.2014,m,VIE,135,22.02.1998,55.54,20,108,*111,*108,108,---,243,---,NGUYEN Tran Anh Tuan,135,2,*141,*141,56,2nd YOUTH OLYMPIC GAMES
08.2014,m,UZB,133,12.03.1999,55.92,21,110,110,105,*110,---,243,---,ERGASHEV Adkhamjon,128,3,*136,133,56,2nd YOUTH OLYMPIC GAMES
08.2014,m,ROU,131,09.12.1997,55.73,22,107,107,103,*107,---,238,---,MANEA Robert Stefan,131,4,*136,*136,56,2nd YOUTH OLYMPIC GAMES
08.2014,m,TUN,127,06.04.1997,55.33,23,108,*110,104,108,---,235,---,KRAYDI Faouzi,127,5,*131,*131,56,2nd YOUTH OLYMPIC GAMES
08.2014,m,TPE,127,03.02.1997,55.77,24,98,*102,98,*102,---,225,---,LAI Yung-En,118,6,127,125,56,2nd YOUTH OLYMPIC GAMES
08.2014,m,ECU,123,27.05.1998,55.78,25,102,102,*97,97,---,225,---,GARRIDO BUENAIRE Victor Jesus,117,7,123,121,56,2nd YOUTH OLYMPIC GAMES
08.2014,m,IRQ,121,03.09.1998,55.24,26,93,*97,88,93,---,214,---,AL-BADRI Karrar Hameed Zayed,117,8,*125,121,56,2nd YOUTH OLYMPIC GAMES
08.2014,m,NCA,102,28.10.1997,55.22,27,87,87,*82,82,---,189,---,VASQUEZ MORALES Orlando Antonio,*102,9,*110,102,56,2nd YOUTH OLYMPIC GAMES
08.2014,m,KIR,103,09.02.1997,55.78,28,73,73,60,68,---,176,---,KATOATAU Ruben,95,10,103,100,56,2nd YOUTH OLYMPIC GAMES
08.2014,m,NRU,85,18.07.1998,55.23,29,65,65,55,60,---,150,---,DEKARUBE Rayvon,75,11,85,80,56,2nd YOUTH OLYMPIC GAMES
08.2014,m,IND,---,21.03.1997,55.93,30,---,*103,*103,*103,---,0,---,TBC Lalchhanhima,---,---,---,---,56,2nd YOUTH OLYMPIC GAMES
08.2014,w,TPE,115,29.04.1997,57.61,31,88,88,80,85,---,203,---,CHIANG Nien-Hsin,107,1,115,111,58,2nd YOUTH OLYMPIC GAMES
08.2014,w,RUS,110,03.05.1997,57.60,32,85,*90,80,85,---,195,---,PETROVA Anastasiia,100,2,110,105,58,2nd YOUTH OLYMPIC GAMES
08.2014,w,ARG,100,04.06.1998,57.02,33,78,78,*75,75,---,178,---,NIEVAS Sasha Belen Beatriz,95,3,*102,100,58,2nd YOUTH OLYMPIC GAMES
08.2014,w,INA,92,12.05.1997,57.41,34,79,79,73,76,---,171,---,JAGADDHITA Acchedya,92,4,*97,*96,58,2nd YOUTH OLYMPIC GAMES
08.2014,w,KAZ,93,15.08.1997,57.05,35,68,*73,68,*73,---,161,---,DAMEN Altynay,85,5,93,90,58,2nd YOUTH OLYMPIC GAMES
08.2014,w,IND,90,04.02.1997,57.91,36,70,*74,*70,70,---,160,---,SAGOLSEM Thasana Chanu,*85,6,90,85,58,2nd YOUTH OLYMPIC GAMES
08.2014,w,ALG,82,26.09.1997,57.67,37,66,66,57,63,---,148,---,BENMILOUD Meryem Nada,78,7,*83,82,58,2nd YOUTH OLYMPIC GAMES
08.2014,w,MAR,74,26.03.1997,56.23,38,56,56,50,54,---,130,---,KARIM Youssra,70,8,*77,74,58,2nd YOUTH OLYMPIC GAMES
08.2014,w,SEY,65,06.04.1998,57.43,39,55,55,*53,53,---,120,---,LARUE Romentha,65,9,*70,*70,58,2nd YOUTH OLYMPIC GAMES
